rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
206,78KhymMVo1JDRSxhk,1559182548865654,亲子,搞笑儿童,2549078
207,7gAc2Y7Db1Jvhqx8I,1586782418750297,生活技巧,生活窍门,2549049
208,72bt917wh1JDvvx2x,1536075472004501,情感,亲情,2542072
209,7cCJljmT21JzQPIUH,1572840064217668,生活技巧,好物推荐,2537663
210,74FRXDnoq1JDSrXzX,1544845443406686,新时代,正能量小剧场,2536430
211,76xtpl99Z1JCL1PM9,1551411776806423,新闻资讯,社会民生,2527171
212,788zCMn6T1JzsMNL9,1557040695507079,搞笑,剧情段子,2526836
213,78j8lzG7A1JDTKCIo,1557640508289142,搞笑,剧情段子,2526401
214,73UYeQOW81JC1ef4j,1542181583533084,搞笑,剧情段子,2510755
215,76XSOtT6q1JCIwBl7,1552911857744034,生活,生活随拍,2508161
216,76XSOtT6q1JCIwBl7,1552911857744034,生活技巧,好物推荐,2508161
217,77QCGhqcY1Jx1cmAu,1556021091394148,情感,两性情感小剧场,2505951
218,7hc2QncZq1JBf2xHh,1588932396393432,长尾才艺,魔术,2504403
219,73I0mpeu11JATUbqf,1541445124371861,搞笑,逗比,2503802
220,7hsrYa2w61JBHBpaf,1589864218555742,三农,农家生活,2498199
221,73ttrnoQU1JzaN2F8,1540619762135112,运动,其他,2495956
222,747unTHyI1JAkrlQp,1542892636284364,新闻资讯,社会民生,2490373
223,6VwVPpDiw1JEunexC,1512643252875744,新时代,其他,2488738
224,7hkK2PP6Z1JDbVQTp,1589426376125637,亲子,亲子互动,2477601
225,72iEpnru61JAFBSL0,1536483392856078,搞笑,逗比,2473928
226,7ffXTEElR1JDUErcv,1582111835944955,亲子,搞笑儿童,2471855
227,71TRFjEy11JDpJWiF,1535075532211573,搞笑,逗比,2471192
228,7dSsuUVNA1Jz2Jeyq,1577255050274438,工业/机械/施工,机械/修理,2469033
229,7cnRgNMld1JDsi9hC,1571995323112571,长尾才艺,杂技,2466648
230,775iz4nZd1JAa6O5R,1553333051123903,搞笑,剧情段子,2465665
231,76FepReYu1JyPjpPT,1551852444347462,时尚,护肤美体,2460860
232,7hw1JFpiC1JCPFyqE,1590067385875150,情感,两性情感小剧场,2460218
233,7d4jSfqB51JCr2gjJ,1574407138040427,新闻资讯,社会民生,2455359
234,77OAkWYF81JDEIeAb,1555905343481814,搞笑,生活趣事,2451934
235,7ftsGFU6h1JCpVcs4,1582878447331837,影视综艺,影视片段,2436948
236,7cp6vhOhL1JDuINbA,1572066079366653,明星名人,娱乐明星,2436748
237,74c9lduax1JDsSacn,1543157359058893,新闻资讯,社会民生,2429183
238,77W8P6ANF1Jzu5g0j,1556334539228823,三农,农家生活,2427129
239,78oeLFDNx1JCIThb1,1557930391869827,搞笑,恶搞整蛊,2403061
240,7bHhVKcoy1JAAWT02,1569577337412706,情感,亲情,2400751
241,77BqyILa11JBTpPdz,1555157982571113,搞笑,恶搞整蛊,2394529
242,79bCyKgik1JDei71x,1560735399610336,影视综艺,影视片段,2390727
243,7f6OwfGqR1JDnIdwq,1581592042823281,新闻资讯,社会民生,2386442
244,7bfRzH9Mn1JARHTct,1568019585793875,情感,两性情感小剧场,2384412
245,7hsrYa2w61JCovjy1,1589864218555742,生活,生活随拍,2380522
246,77Wu7mlhR1JCOYmb7,1556354047745959,搞笑,恶搞整蛊,2372230
247,730nu7yan1Jyr10Kp,1538967099057747,搞笑,逗比,2370425
248,72UFl8i9m1JCtyeQk,1538642655224956,情感,两性情感小剧场,2370314
249,76negGm0D1JCaNP60,1550829904525359,影视综艺,影视片段,2364529
250,78i9DR2L01JBbUfOF,1557584894299026,生活技巧,好物推荐,2362937
251,7gwSvBTdg1JvubOFQ,1586594118602010,亲子,孕产,2349814
252,7gU6HDGTG1JBhijfu,1587913527625436,情感,两性情感其他,2347006
